year,global_av_temp,minneapolis_av_temp,global_smoothed_temp,minneapolis_smoothed_temp
1949,8.59,5.90,8.6845000000000000,5.6685000000000000
1950,8.37,3.49,8.6715000000000000,5.5400000000000000
1951,8.63,3.84,8.6670000000000000,5.3200000000000000
1952,8.64,5.96,8.6635000000000000,5.3600000000000000
1953,8.87,6.32,8.6900000000000000,5.3940000000000000
1954,8.56,5.85,8.6865000000000000,5.3845000000000000
1955,8.63,5.43,8.6920000000000000,5.4045000000000000
1956,8.28,5.21,8.6785000000000000,5.4495000000000000
1957,8.73,5.36,8.6800000000000000,5.4875000000000000
1958,8.77,5.60,8.6755000000000000,5.4530000000000000
1959,8.73,5.63,8.6740000000000000,5.4290000000000000
1960,8.58,5.30,8.6650000000000000,5.4430000000000000
1961,8.80,5.97,8.6665000000000000,5.4115000000000000
1962,8.75,5.26,8.6675000000000000,5.3845000000000000
1963,8.86,5.90,8.6725000000000000,5.4385000000000000
1964,8.41,5.99,8.6505000000000000,5.4225000000000000
1965,8.53,4.40,8.6480000000000000,5.4075000000000000
1966,8.60,4.69,8.6440000000000000,5.3525000000000000
1967,8.70,4.71,8.6390000000000000,5.3135000000000000
1968,8.52,5.80,8.6275000000000000,5.3305000000000000
1969,8.60,5.23,8.6280000000000000,5.2970000000000000
1970,8.70,4.97,8.6445000000000000,5.3710000000000000
1971,8.60,5.13,8.6430000000000000,5.4355000000000000
1972,8.50,3.88,8.6360000000000000,5.3315000000000000
1973,8.95,6.53,8.6400000000000000,5.3420000000000000
1974,8.47,5.44,8.6355000000000000,5.3215000000000000
1975,8.74,5.33,8.6410000000000000,5.3165000000000000
1976,8.35,5.44,8.6445000000000000,5.3280000000000000
1977,8.85,5.90,8.6505000000000000,5.3550000000000000
1978,8.69,4.91,8.6465000000000000,5.3205000000000000
1979,8.73,4.20,8.6465000000000000,5.2490000000000000
1980,8.98,5.60,8.6665000000000000,5.2640000000000000
1981,9.17,6.48,8.6850000000000000,5.2895000000000000
1982,8.64,4.76,8.6795000000000000,5.2645000000000000
1983,9.03,5.88,8.6880000000000000,5.2635000000000000
1984,8.69,5.95,8.7020000000000000,5.2615000000000000
1985,8.66,4.65,8.7085000000000000,5.2740000000000000
1986,8.83,6.09,8.7200000000000000,5.3440000000000000
1987,8.99,8.21,8.7345000000000000,5.5190000000000000
1988,9.20,6.10,8.7685000000000000,5.5340000000000000
1989,8.92,4.76,8.7845000000000000,5.5105000000000000
1990,9.23,6.65,8.8110000000000000,5.5945000000000000
1991,9.18,6.16,8.8400000000000000,5.6460000000000000
1992,8.84,5.86,8.8570000000000000,5.7450000000000000
1993,8.87,4.80,8.8530000000000000,5.6585000000000000
1994,9.04,5.69,8.8815000000000000,5.6710000000000000
1995,9.35,5.44,8.9120000000000000,5.6765000000000000
1996,9.04,4.01,8.9465000000000000,5.6050000000000000
1997,9.20,5.57,8.9640000000000000,5.5885000000000000
1998,9.52,7.94,9.0055000000000000,5.7400000000000000
1999,9.29,7.15,9.0335000000000000,5.8875000000000000
2000,9.20,6.03,9.0445000000000000,5.9090000000000000
2001,9.41,6.76,9.0565000000000000,5.9230000000000000
2002,9.57,6.30,9.1030000000000000,6.0000000000000000
2003,9.53,6.04,9.1280000000000000,6.0080000000000000
2004,9.32,5.89,9.1595000000000000,6.0050000000000000
2005,9.70,6.87,9.2115000000000000,6.1160000000000000
2006,9.53,7.51,9.2465000000000000,6.1870000000000000
2007,9.73,6.58,9.2835000000000000,6.1055000000000000
2008,9.43,4.84,9.2950000000000000,6.0425000000000000
2009,9.51,5.26,9.3245000000000000,6.0675000000000000
2010,9.70,6.71,9.3480000000000000,6.0705000000000000
2011,9.52,6.25,9.3650000000000000,6.0750000000000000
2012,9.51,7.98,9.3985000000000000,6.1810000000000000
2013,9.61,7.26,9.4355000000000000,6.3040000000000000
